Name,Account number,Date,OldValue,NewValue
TransportCo1,AB0000000,2025-01-01,Blocked,Active
TransportCo1,AB0000000,2025-01-22,Active,Blocked
TransportCo1,AB0000000,2025-01-29,Blocked,Active
TransportCo1,AB0000000,2025-02-12,Active,Blocked
TransportCo2,AB0000001,2025-01-01,Blocked,Active
TransportCo2,AB0000001,2025-01-15,Active,Blocked
TransportCo2,AB0000001,2025-02-05,Blocked,Active
TransportCo2,AB0000001,2025-02-12,Active,Blocked
TransportCo2,AB0000001,2025-03-05,Blocked,Active
TransportCo2,AB0000001,2025-03-26,Active,Blocked
TransportCo3,AB0000002,2025-01-01,Blocked,Active
TransportCo3,AB0000002,2025-01-15,Active,Blocked
TransportCo3,AB0000002,2025-01-29,Blocked,Active
TransportCo3,AB0000002,2025-02-12,Active,Blocked
TransportCo3,AB0000002,2025-02-26,Blocked,Active
TransportCo3,AB0000002,2025-03-12,Active,Blocked
TransportCo3,AB0000002,2025-03-26,Blocked,Active
TransportCo3,AB0000002,2025-04-16,Active,Blocked
TransportCo3,AB0000002,2025-04-23,Blocked,Active
TransportCo3,AB0000002,2025-05-07,Active,Blocked
TransportCo3,AB0000002,2025-05-21,Blocked,Active
TransportCo3,AB0000002,2025-06-04,Active,Blocked
TransportCo3,AB0000002,2025-06-25,Blocked,Active
TransportCo4,AB0000003,2025-01-01,Active,Blocked
TransportCo4,AB0000003,2025-01-22,Blocked,Active
TransportCo4,AB0000003,2025-01-29,Active,Blocked
TransportCo4,AB0000003,2025-02-05,Blocked,Active
TransportCo4,AB0000003,2025-02-26,Active,Blocked
TransportCo4,AB0000003,2025-03-05,Blocked,Active
TransportCo4,AB0000003,2025-03-19,Active,Blocked
TransportCo4,AB0000003,2025-04-09,Blocked,Active
TransportCo4,AB0000003,2025-04-16,Active,Blocked
TransportCo4,AB0000003,2025-05-07,Blocked,Active
TransportCo4,AB0000003,2025-05-21,Active,Blocked
TransportCo4,AB0000003,2025-06-04,Blocked,Active
