date,employee_id,status,check_in
2026-01-19,E1000,Office,08:39
2026-01-19,E1001,Absent,
2026-01-19,E1002,Office,08:15
2026-01-19,E1003,Office,07:26
2026-01-19,E1004,Office,09:46
2026-01-19,E1005,Office,09:26
2026-01-19,E1006,Office,07:35
2026-01-19,E1008,Office,08:24
2026-01-19,E1009,Office,07:00
2026-01-19,E1010,Office,08:22
2026-01-19,E1012,Remote,07:08
2026-01-19,E1013,Office,09:54
2026-01-19,E1014,Office,07:53
2026-01-19,E1015,Office,08:26
2026-01-19,E1016,Office,08:10
2026-01-19,E1017,Office,08:47
2026-01-19,E1018,Remote,07:49
2026-01-19,E1019,Office,08:51
2026-01-19,E1020,Office,08:50
2026-01-19,E1021,Office,07:48
2026-01-19,E1022,Office,08:19
2026-01-19,E1023,Remote,08:39
2026-01-19,E1024,Office,07:19
2026-01-19,E1025,Office,07:32
2026-01-19,E1026,Office,09:39
2026-01-19,E1028,Office,08:46
2026-01-19,E1029,Remote,07:14
2026-01-19,E1030,Office,08:32
2026-01-19,E1031,Office,07:44
2026-01-19,E1032,Office,08:10
2026-01-19,E1033,Office,09:07
2026-01-19,E1034,Absent,
2026-01-19,E1035,Office,08:37
2026-01-19,E1036,Office,07:13
2026-01-19,E1037,Office,07:17
2026-01-19,E1038,Remote,08:42
2026-01-19,E1039,Office,08:16
2026-01-19,E1040,Office,07:35
2026-01-19,E1041,Office,08:09
2026-01-19,E1042,Office,07:59
2026-01-19,E1043,Office,07:48
2026-01-19,E1044,Office,07:41
2026-01-19,E1045,Office,07:37
2026-01-19,E1046,Office,09:14
2026-01-19,E1047,Office,09:16
2026-01-19,E1049,Office,09:33
2026-01-19,E1050,Remote,07:00
2026-01-19,E1051,Office,07:04
2026-01-19,E1052,Office,07:02
2026-01-19,E1053,Office,09:17
2026-01-19,E1054,Absent,
2026-01-19,E1055,Remote,07:48
2026-01-19,E1056,Remote,07:02
2026-01-19,E1057,Office,07:27
2026-01-19,E1058,Office,07:56
2026-01-19,E1059,Office,07:03
2026-01-19,E1060,Absent,
2026-01-19,E1061,Remote,09:48
2026-01-19,E1062,Office,08:10
2026-01-19,E1063,Office,09:20
2026-01-19,E1064,Office,07:41
2026-01-19,E1065,Office,07:45
